gene_name,ensembl_id,top_tissue,max_pip,twas_z_pop1,chrom,tx_start,tx_stop,block
TLR1,ENSG00000174125,liver,1.0,4.3,4,37790676.0,39805578.0,4:37253425-4:38905401
TLR6,ENSG00000174130,pituitary,1.0,-6.82,4,37823714.0,39843791.0,4:37253425-4:38905401
ELAVL2,ENSG00000107105,esophagus_muscularis,1.0,-6.91,9,22690103.0,24826337.0,9:22206560-9:24158520
NUDT18,ENSG00000275074,thyroid,1.0,-0.317,8,21106871.0,23109419.0,8:21804225-8:23039544
SRGAP2C,ENSG00000171943,adrenal_gland,1.0,2.37,1,120184809.0,122392822.0,1:118296444-1:148907004
ACSL6,ENSG00000164398,brain_basalganglia,1.0,-6.97,5,130949972.0,133012243.0,5:130183332-5:132803957
RP11-622C24.2,ENSG00000277152,artery_aorta,1.0,-5.35,15,65860302.0,67867023.0,15:66802429-15:68725660
ENPP7,ENSG00000182156,liver,1.0,-8.27,17,78730918.0,80742222.0,17:76379479-17:78267332
LILRA6,ENSG00000244482,testis,1.0,-2.08,19,53236591.0,55242791.0,19:54099074-19:55216712
GSDMB,ENSG00000073605,colon_transverse,1.0,12.7,17,38904594.0,40918650.0,17:36141651-17:38653091
RP11-387H17.4,ENSG00000264968,adipose_visceral_omentum,1.0,-21.1,17,38927741.0,40939601.0,17:36141651-17:38653091
NOC3L,ENSG00000173145,brain_limbic,1.0,2.13,10,93333225.0,95362959.0,10:96062600-10:98481545
GRM2,ENSG00000164082,artery_tibial,1.0,-14.4,3,50707069.0,52718613.0,3:49279539-3:51797999
OGFRP1,ENSG00000182057,adipose_visceral_omentum,1.0,5.31,22,41269752.0,43275196.0,22:40149793-22:42294812
TEX264,ENSG00000164081,muscle_skeletal,1.0,-4.52,3,50671174.0,52704323.0,3:49279539-3:51797999
UHRF2,ENSG00000147854,prostate,1.0,-11.4,9,5413150.0,7507054.0,9:4884926-9:6557589
POLDIP2,ENSG00000004142,esophagus_mucosa,1.0,-1.9,17,27347176.0,29357522.0,17:21387045-17:29007226
STAC2,ENSG00000141750,adrenal_gland,1.0,-9.89,17,38210535.0,40225872.0,17:36141651-17:38653091
SURF2,ENSG00000148291,adipose_subcutaneous,1.0,-2.52,9,132356913.0,134361169.0,9:136047132-9:136605890
SMAD3,ENSG00000166949,thyroid,1.0,-15.4,15,66065844.0,68195195.0,15:66802429-15:68725660
MFSD9,ENSG00000135953,adipose_visceral_omentum,1.0,0.0903,2,101715839.0,103736888.0,2:102971757-2:104508576
SLC9A2,ENSG00000115616,pituitary,1.0,14.5,2,101619706.0,103711318.0,2:102971757-2:104508576
RPP25L,ENSG00000164967,esophagus_muscularis,1.0,-6.19,9,33610485.0,35612104.0,9:33578336-9:34642246
CPNE8,ENSG00000139117,cells_cultured_fibroblasts,1.0,0.104,12,37646821.0,39907430.0,12:37462915-12:38833367
RP11-195F19.9,ENSG00000230074,cells_cultured_fibroblasts,1.0,1.4,9,33678099.0,35681298.0,9:34642246-9:36743286
HLA-DQA1,ENSG00000196735,spleen,1.0,2.73,6,31628178.0,33643652.0,6:31603441-6:32714887
CHRNA5,ENSG00000169684,brain_spinal_cord_cervical_c-1,1.0,-6.9,15,77565519.0,79595269.0,15:78223711-15:80568637
FBXL20,ENSG00000108306,esophagus_muscularis,1.0,-11.1,17,38252643.0,40402523.0,17:36141651-17:38653091
COQ5,ENSG00000110871,esophagus_mucosa,1.0,-1.32,12,119503273.0,121534350.0,12:119316305-12:121569746
IL1RL1,ENSG00000115602,esophagus_mucosa,1.0,-5.11,2,101311501.0,103352037.0,2:102971757-2:104508576
FBXL2,ENSG00000153558,brain_cortex,1.0,-6.18,3,32277024.0,34403662.0,3:32310223-3:33214100
IL18R1,ENSG00000115604,heart_atrial_appendage,1.0,15.0,2,101355928.0,103398775.0,2:102072305-2:102971757
ZBTB10,ENSG00000205189,artery_aorta,1.0,-5.89,8,79485619.0,81526265.0,8:81044160-8:81781504
IL1RL2,ENSG00000115598,brain_basalganglia,1.0,-20.1,2,101186972.0,103240002.0,2:102971757-2:104508576
IL18RAP,ENSG00000115607,skin_sun_exposed_lower_leg,1.0,11.3,2,101418688.0,103452565.0,2:102072305-2:102971757
EMSY,ENSG00000158636,esophagus_mucosa,1.0,-8.36,11,75445021.0,77553025.0,11:74701306-11:77086163
RP11-16L9.2,ENSG00000225172,testis,1.0,5.93,1,197983320.0,199985400.0,1:197342384-1:199270756
RP11-989F5.1,ENSG00000256250,esophagus_muscularis,1.0,2.39,12,129810605.0,131812309.0,12:129893376-12:131302206
LIX1L-AS1,ENSG00000234222,cells_ebv-transformed_lymphocytes,1.0,-6.36,1,144926618.0,146959179.0,1:118296444-1:148907004
PRKRIP1,ENSG00000128563,artery_tibial,1.0,-2.8,7,101363871.0,103426676.0,7:101555972-7:103557063
ACYP2,ENSG00000170634,lung,1.0,-0.966,2,52970840.0,55305300.0,2:53281314-2:54458089
BACH2,ENSG00000112182,pancreas,1.0,13.4,6,88926528.0,91296908.0,6:89263333-6:91133478
RUNX3,ENSG00000020633,testis,1.0,-6.08,1,23899510.0,25965121.0,1:25190354-1:27075376
HSD3B7,ENSG00000099377,adipose_visceral_omentum,1.0,5.61,16,29988270.0,31989152.0,16:29025292-16:31371622
RP11-85I17.2,ENSG00000279347,adipose_subcutaneous,1.0,-2.52,8,118838735.0,120840385.0,8:120189461-8:123849219
ZNF76,ENSG00000065029,testis,1.0,-1.47,6,34258981.0,36295985.0,6:33268720-6:35487979
LPP,ENSG00000145012,skin_not_sun_exposed_suprapubic,1.0,-5.2,3,187208197.0,189890671.0,3:187172556-3:189138425
PCGF3,ENSG00000185619,brain_spinal_cord_cervical_c-1,0.999,1.25,4,-294253.0,1770640.0,4:10240-4:700926
IQCH,ENSG00000103599,heart_atrial_appendage,0.999,9.21,15,66254799.0,68502260.0,15:66802429-15:68725660
CTB-193M12.5,ENSG00000280206,thyroid,0.999,-5.46,16,14701236.0,16702118.0,16:14370145-16:16060203
RP11-141C7.3,ENSG00000271662,artery_aorta,0.999,-2.17,3,194650145.0,196651472.0,3:195065945-3:196244537
PCDHB11,ENSG00000197479,stomach,0.999,1.97,5,140199581.0,142203779.0,5:139885487-5:141266403
LMAN2,ENSG00000169223,whole_blood,0.999,5.2,5,176331561.0,178351852.0,5:176023592-5:177824506
PARM1,ENSG00000169116,cells_cultured_fibroblasts,0.999,5.23,4,73933094.0,76050115.0,4:73726673-4:76209554
IL7R,ENSG00000168685,colon_sigmoid,0.999,-5.43,5,34852694.0,36879603.0,5:35048865-5:36433852
IDH2,ENSG00000182054,skin_sun_exposed_lower_leg,0.999,2.37,15,89083044.0,91102504.0,15:89932319-15:91621162
HSD17B4,ENSG00000133835,pancreas,0.999,0.503,5,118452442.0,120542333.0,5:118010518-5:119273125
RP11-350J20.5,ENSG00000231760,liver,0.999,-1.03,6,148796150.0,150799150.0,6:148599216-6:149932268
ARFRP1,ENSG00000101246,liver,0.999,0.00192,20,62698684.0,64708025.0,20:60986668-20:62670503
GUSBP4,ENSG00000239650,vagina,0.999,0.432,6,56919783.0,58930291.0,6:56240515-6:60631718
ZBTB25,ENSG00000089775,nerve_tibial,0.999,-1.26,14,63449105.0,65505213.0,14:64753580-14:65932837
AC093162.5,ENSG00000246575,colon_transverse,0.998,-2.11,2,84315040.0,86316529.0,2:84913556-2:87738988
DOLPP1,ENSG00000167130,esophagus_mucosa,0.998,1.47,9,128081099.0,130090438.0,9:131252501-9:132423455
DOCK9-AS2,ENSG00000260992,brain_cortex,0.998,7.46,13,98087818.0,100088625.0,13:99921841-13:101648173
UBAC2-AS1,ENSG00000228889,esophagus_mucosa,0.998,-9.9,13,98196376.0,100200710.0,13:98286665-13:99921841
COG6,ENSG00000133103,brain_spinal_cord_cervical_c-1,0.998,3.2,13,38655626.0,40791665.0,13:38304026-13:40495126
SURF1,ENSG00000148290,adipose_visceral_omentum,0.998,2.16,9,132351754.0,134356676.0,9:136047132-9:136605890
STAT6,ENSG00000166888,esophagus_mucosa,0.998,10.3,12,56095476.0,58132139.0,12:57155077-12:58914885
TMCO6,ENSG00000113119,prostate,0.998,-0.92,5,139639426.0,141645284.0,5:137040361-5:139885487
RAB5C,ENSG00000108774,brain_basalganglia,0.998,-4.86,17,41124975.0,43154998.0,17:40721152-17:41743558
CAMTA1,ENSG00000171735,artery_tibial,0.998,5.43,1,5785323.0,8769706.0,1:5853833-1:7187275
ADORA1,ENSG00000163485,whole_blood,0.997,-6.97,1,202090653.0,204167405.0,1:201620847-1:203365606
NUDT2,ENSG00000164978,nerve_tibial,0.997,-2.21,9,33329505.0,35343713.0,9:33578336-9:34642246
KCNMB3,ENSG00000171121,lung,0.997,4.26,3,178240093.0,180267002.0,3:178389377-3:179656798
WNT11,ENSG00000085741,esophagus_muscularis,0.997,4.37,11,75186324.0,77210736.0,11:74701306-11:77086163
SETBP1,ENSG00000152217,breast_mammary_tissue,0.997,4.42,18,43680172.0,46068510.0,18:40104403-18:42312683
RTN1,ENSG00000139970,stomach,0.997,3.81,14,58595976.0,60870966.0,14:58981618-14:61213706
GJA1,ENSG00000152661,cells_cultured_fibroblasts,0.997,-4.53,6,120435691.0,122449727.0,6:121584530-6:123535036
AKIRIN2,ENSG00000135334,brain_cortex,0.997,-3.36,6,86675071.0,88702209.0,6:88112422-6:89263333
TNFSF9,ENSG00000125657,esophagus_mucosa,0.997,-4.77,19,5530998.0,7535928.0,19:5811841-19:6684874
CPNE1,ENSG00000214078,skin_not_sun_exposed_suprapubic,0.996,1.21,20,34626030.0,36664759.0,20:33027017-20:34225635
ARPC5L,ENSG00000136950,brain_cerebellum,0.996,5.39,9,123862129.0,125877733.0,9:126297386-9:127293231
TNFSF15,ENSG00000181634,whole_blood,0.996,4.77,9,113784634.0,115806126.0,9:115159681-9:118559259
NSMCE1,ENSG00000169189,heart_atrial_appendage,0.996,8.65,16,26224990.0,28268794.0,16:25975541-16:27434434
SEC31B,ENSG00000075826,skin_not_sun_exposed_suprapubic,0.996,-4.13,10,99486641.0,101519864.0,10:101189482-10:102620653
CTA-150C2.13,ENSG00000235209,uterus,0.995,-3.57,22,37921226.0,39924708.0,22:38911889-22:40149793
PTPA,ENSG00000119383,skin_sun_exposed_lower_leg,0.995,-4.6,9,128110949.0,130148946.0,9:131252501-9:132423455
DENND1A,ENSG00000119522,nerve_tibial,0.995,4.85,9,122379653.0,124930152.0,9:126297386-9:127293231
CD44,ENSG00000026508,pancreas,0.994,0.932,11,34138869.0,36232402.0,11:33937192-11:35481057
RP3-395P12.2,ENSG00000226375,brain_cerebellum,0.994,-5.32,1,172174299.0,174175503.0,1:173128768-1:175120632
PYGB,ENSG00000100994,esophagus_muscularis,0.994,3.33,20,24248068.0,26298014.0,20:24737088-20:25363595
EMC2,ENSG00000104412,heart_left_ventricle,0.994,4.25,8,107443600.0,109486912.0,8:108235944-8:109472085
FTO,ENSG00000140718,muscle_skeletal,0.993,-4.79,16,52701691.0,55158512.0,16:53348660-16:55869862
SUPT3H,ENSG00000196284,brain_substantia_nigra,0.993,-4.5,6,43809316.0,46377953.0,6:45438826-6:47344162
ERAP2,ENSG00000164308,heart_left_ventricle,0.993,8.79,5,95875938.0,97919716.0,5:94474279-5:96627815
RP1-239B22.5,ENSG00000260196,nerve_tibial,0.993,2.16,11,16380648.0,18383531.0,11:15721006-11:17556855
RP11-458J1.1,ENSG00000278834,artery_aorta,0.992,-5.01,17,39648508.0,41649718.0,17:38653091-17:40721152
ZNF318,ENSG00000171467,adrenal_gland,0.992,-5.27,6,42307133.0,44369478.0,6:42070983-6:43788432
SNRPEP2,ENSG00000256968,testis,0.992,-4.98,9,5748702.0,7748981.0,9:4884926-9:6557589
CD164L2,ENSG00000174950,adrenal_gland,0.991,-4.76,1,26379175.0,28383380.0,1:27075376-1:29689034
TTC9C,ENSG00000162222,cells_cultured_fibroblasts,0.99,1.48,11,61728068.0,63740284.0,11:62456299-11:64037097
ZNF432,ENSG00000256087,colon_transverse,0.99,-5.65,19,51031378.0,53049006.0,19:51029311-19:52482037
PVT1,ENSG00000249859,thyroid,0.989,4.32,8,126794532.0,129101253.0,8:127646866-8:129368893
AC092066.1,ENSG00000279095,skin_not_sun_exposed_suprapubic,0.989,2.07,19,43664130.0,45666158.0,19:44239955-19:45599439
RP11-61I13.3,ENSG00000235033,breast_mammary_tissue,0.989,1.95,6,38881803.0,40900071.0,6:39327901-6:40377376
TRNT1,ENSG00000072756,testis,0.989,3.03,3,2126915.0,4149233.0,3:2950436-3:4389963
SYNJ2BP,ENSG00000213463,adrenal_gland,0.988,2.62,14,69366495.0,71417061.0,14:70665240-14:72422907
TBC1D12,ENSG00000108239,thyroid,0.988,-4.94,10,93402503.0,95535930.0,10:96062600-10:98481545
ZBTB49,ENSG00000168826,pancreas,0.988,-4.46,4,3290250.0,5321786.0,4:3844313-4:4682389
DTWD1,ENSG00000104047,spleen,0.987,5.43,15,48620979.0,50656232.0,15:47843851-15:49715846
SCOC,ENSG00000153130,muscle_skeletal,0.987,-4.55,4,139257285.0,141385726.0,4:140163477-4:142522112
NEXN,ENSG00000162614,adipose_subcutaneous,0.987,3.42,1,76916054.0,78943895.0,1:76262450-1:79195513
TESK2,ENSG00000070759,pancreas,0.986,-5.03,1,44343975.0,46491166.0,1:44503511-1:46433829
MDH1,ENSG00000014641,thyroid,0.985,-5.41,2,62588799.0,64607197.0,2:62201909-2:64398779
COX16,ENSG00000133983,stomach,0.985,3.13,14,69325080.0,71359731.0,14:70665240-14:72422907
MRPS16,ENSG00000182180,lung,0.984,-5.21,10,72248862.0,74252693.0,10:73662792-10:76947056
NEGR1,ENSG00000172260,brain_basalganglia,0.984,-4.32,1,70395939.0,73282734.0,1:71218722-1:73861224
FREM1,ENSG00000164946,brain_cerebellum,0.984,4.82,9,13734665.0,15910995.0,9:12276489-9:14836365
SEC22A,ENSG00000121542,pancreas,0.984,4.44,3,122201926.0,124274130.0,3:122255250-3:123798921
ORAI2,ENSG00000160991,thyroid,0.984,-2.9,7,101433105.0,103456237.0,7:101555972-7:103557063
RP11-567F11.2,ENSG00000281772,artery_tibial,0.983,-4.48,2,147062153.0,149062577.0,2:146519594-2:149353778
PPA2,ENSG00000138777,breast_mammary_tissue,0.982,3.87,4,104369076.0,106474081.0,4:104384137-4:106580148
AC025171.1,ENSG00000215068,pancreas,0.981,-2.71,5,42041574.0,44045264.0,5:41888608-5:43983397
USP53,ENSG00000145390,brain_basalganglia,0.98,2.33,4,118212644.0,120295517.0,4:119471529-4:121736832
ALKBH4,ENSG00000160993,whole_blood,0.98,1.36,7,101456821.0,103464876.0,7:101555972-7:103557063
WDR46,ENSG00000227057,lung,0.979,-7.33,6,32279107.0,34289301.0,6:32714887-6:33268720
HHIP,ENSG00000164161,thyroid,0.979,4.96,4,143646020.0,145745271.0,4:142522112-4:145257035
FSIP2-AS1,ENSG00000231646,pituitary,0.979,3.37,2,184783690.0,186788209.0,2:184415446-2:189017339
MEIKIN,ENSG00000239642,brain_cerebellum,0.978,-4.38,5,130806992.0,132945698.0,5:130183332-5:132803957
THSD4,ENSG00000187720,artery_aorta,0.978,4.25,15,70096951.0,72783383.0,15:69841002-15:71630310
CTD-2334D19.1,ENSG00000248927,muscle_skeletal,0.977,-4.1,5,119781217.0,121790778.0,5:119273125-5:120333347
IL21R,ENSG00000103522,brain_cerebellum,0.976,-6.89,16,26402161.0,28452042.0,16:25975541-16:27434434
RP11-422J15.1,ENSG00000249618,testis,0.976,-3.51,4,128771658.0,130955368.0,4:129670730-4:130362666
FAM114A1,ENSG00000197712,brain_substantia_nigra,0.976,-8.33,4,37867676.0,39945739.0,4:37253425-4:38905401
SERBP1P3,ENSG00000242142,nerve_tibial,0.976,-3.89,3,52064282.0,54065091.0,3:51797999-3:54047363
LINC02159,ENSG00000253417,stomach,0.976,4.4,5,159931777.0,161938626.0,5:159398690-5:160546937
KLHL30,ENSG00000168427,thyroid,0.975,-0.148,2,237138721.0,239152888.0,2:237852338-2:239030947
GATA3,ENSG00000107485,adipose_subcutaneous,0.974,-4.15,10,7053603.0,9075198.0,10:7129522-10:8732702
GHRL,ENSG00000157017,adrenal_gland,0.974,4.58,3,9285746.0,11291451.0,3:9501499-3:10977979
EIF4E3,ENSG00000163412,testis,0.974,-5.34,3,70675415.0,72753624.0,3:70399877-3:72480178
ZNF396,ENSG00000186496,nerve_tibial,0.974,2.51,18,34366696.0,36377337.0,18:32684103-18:34200103
SERPINB7,ENSG00000166396,skin_not_sun_exposed_suprapubic,0.973,-4.12,18,62752934.0,64805376.0,18:61353518-18:62610482
SLA,ENSG00000155926,brain_basalganglia,0.973,-4.36,8,132036723.0,134103054.0,8:133557758-8:135023362
NKIRAS1,ENSG00000197885,testis,0.973,-4.18,3,22891659.0,24946591.0,3:22162752-3:23763374
C15orf40,ENSG00000169609,spleen,0.972,-3.95,15,81988440.0,84011641.0,15:83591716-15:86109674
PTRF,ENSG00000177469,heart_left_ventricle,0.972,-7.17,17,41402451.0,43423517.0,17:38653091-17:40721152
HLA-DQA2,ENSG00000237541,spleen,0.971,13.9,6,31741341.0,33747215.0,6:31603441-6:32714887
XXbac-BPG181B23.7,ENSG00000272221,adrenal_gland,0.97,-11.5,6,30394288.0,32395495.0,6:30830391-6:31603441
HCG23,ENSG00000228962,prostate,0.969,9.24,6,31390509.0,33393686.0,6:32714887-6:33268720
SYMPK,ENSG00000125755,pancreas,0.967,-6.16,19,44815409.0,46863290.0,19:45599439-19:46646825
TMEM106B,ENSG00000106460,stomach,0.966,-4.0,7,11211240.0,13243367.0,7:11259571-7:12595836
AC005160.3,ENSG00000227658,testis,0.966,4.03,7,39775557.0,41785217.0,7:39823071-7:41962213
RP11-20I23.13,ENSG00000261613,liver,0.965,-2.98,16,1554059.0,3555998.0,16:1157206-16:2714828
GLB1,ENSG00000170266,cells_cultured_fibroblasts,0.965,-7.26,3,31996607.0,34097230.0,3:32310223-3:33214100
CTD-3105H18.4,ENSG00000248406,muscle_skeletal,0.964,-4.55,19,11379745.0,13383687.0,19:11173352-19:13360313
ANKRD50,ENSG00000151458,breast_mammary_tissue,0.964,-3.75,4,123664051.0,125712732.0,4:124289707-4:125559731
NMT1,ENSG00000136448,skin_sun_exposed_lower_leg,0.964,7.29,17,44051661.0,46108966.0,17:41743558-17:43694719
P2RX4,ENSG00000135124,pancreas,0.963,-5.19,12,120209856.0,122234106.0,12:119316305-12:121569746
ALG10B,ENSG00000175548,adipose_visceral_omentum,0.963,-2.82,12,37316577.0,39329728.0,12:37462915-12:38833367
RP11-755F10.1,ENSG00000255320,colon_transverse,0.962,-5.63,11,65244839.0,67246239.0,11:64037097-11:66131160
ZNF506,ENSG00000081665,brain_limbic,0.961,-2.39,19,18785838.0,20821751.0,19:18299052-19:19766662
PLXNB2,ENSG00000196576,artery_aorta,0.961,0.69,22,49274978.0,51307627.0,22:49430885-22:50804870
ZCCHC2,ENSG00000141664,adipose_subcutaneous,0.96,-4.24,18,61523006.0,63587709.0,18:59963251-18:61353518
MFSD13A,ENSG00000138111,artery_tibial,0.96,-2.23,10,101461394.0,103477045.0,10:102620653-10:104935290
SRA1,ENSG00000213523,pancreas,0.959,4.06,5,139537589.0,141558252.0,5:137040361-5:139885487
RP3-402G11.28,ENSG00000273137,whole_blood,0.957,3.83,22,49208460.0,51209542.0,22:49430885-22:50804870
KIAA1462,ENSG00000165757,brain_substantia_nigra,0.956,4.09,10,29012799.0,31115494.0,10:30169909-10:31618591
PIK3R3,ENSG00000117461,whole_blood,0.955,4.36,1,45040139.0,47133036.0,1:46433829-1:47536904
SLC12A9,ENSG00000146828,nerve_tibial,0.953,2.45,7,99826819.0,101867008.0,7:99117851-7:100599028
RIN3,ENSG00000100599,colon_sigmoid,0.953,8.41,14,91513773.0,93688994.0,14:92665954-14:93858939
ULBP1,ENSG00000111981,colon_sigmoid,0.952,-6.33,6,148964006.0,150973710.0,6:148599216-6:149932268
SCLY,ENSG00000132330,testis,0.95,-3.87,2,237060888.0,239099413.0,2:237852338-2:239030947
METTL22,ENSG00000067365,brain_cerebellum,0.946,-4.06,16,7621682.0,9649654.0,16:8288517-16:9705562
DDX56,ENSG00000136271,esophagus_muscularis,0.946,2.26,7,43565416.0,45575051.0,7:43119475-7:44724229
ITPK1,ENSG00000100605,esophagus_muscularis,0.945,5.16,14,91936913.0,94116320.0,14:92665954-14:93858939
PPM1G,ENSG00000115241,adipose_subcutaneous,0.943,1.82,2,26381193.0,28409687.0,2:26672117-2:28375910
SENCR,ENSG00000254703,brain_limbic,0.943,-3.46,11,127691671.0,129696023.0,11:127446784-11:128318642
ALG1L13P,ENSG00000253981,stomach,0.943,3.1,8,7236002.0,9244040.0,8:7295557-8:9297184
DPYS,ENSG00000147647,testis,0.943,4.47,8,103330323.0,105467053.0,8:103976524-8:106398526
EPC1,ENSG00000120616,testis,0.941,-3.97,10,31267750.0,33378798.0,10:31618591-10:33419040
TSPAN2,ENSG00000134198,heart_atrial_appendage,0.94,4.2,1,114048010.0,116089500.0,1:115337972-1:118296444
ZNF24,ENSG00000172466,cells_cultured_fibroblasts,0.939,-4.4,18,34332211.0,36345482.0,18:32684103-18:34200103
IPCEF1,ENSG00000074706,liver,0.939,-3.82,6,153154495.0,155356792.0,6:154652986-6:156442192
F2RL1,ENSG00000164251,whole_blood,0.938,-1.9,5,75818932.0,77835315.0,5:74463501-5:76503041
RP4-724E16.2,ENSG00000197670,whole_blood,0.937,-4.09,20,52552769.0,54575726.0,20:50623121-20:53856010
AAGAB,ENSG00000103591,esophagus_muscularis,0.937,-3.13,15,66201032.0,68254736.0,15:66802429-15:68725660
AP5B1,ENSG00000254470,adipose_subcutaneous,0.933,7.12,11,64775892.0,66780802.0,11:64037097-11:66131160
LINC00922,ENSG00000261742,testis,0.933,-3.83,16,64284498.0,66576300.0,16:63657685-16:65904663
RP11-296O14.3,ENSG00000203739,esophagus_muscularis,0.931,4.08,1,172417792.0,174461362.0,1:170588635-1:173128768
IFT172,ENSG00000138002,cells_cultured_fibroblasts,0.93,-2.94,2,26444370.0,28489789.0,2:26672117-2:28375910
ZNF502,ENSG00000196653,breast_mammary_tissue,0.93,-2.74,3,43712642.0,45723831.0,3:42498510-3:45123661
RASA1,ENSG00000145715,whole_blood,0.929,3.82,5,86267887.0,88391931.0,5:84676871-5:86471473
RP11-183G22.1,ENSG00000234080,brain_basalganglia,0.929,-3.94,1,49326130.0,51327007.0,1:49428505-1:51248054
RPUSD4,ENSG00000165526,esophagus_mucosa,0.929,5.24,11,125202093.0,127211407.0,11:124625632-11:126441425
FGF2,ENSG00000138685,heart_left_ventricle,0.929,-3.73,4,121826707.0,123898236.0,4:123365326-4:124289707
LRR1,ENSG00000165501,artery_aorta,0.929,3.96,14,48599164.0,50614672.0,14:48536268-14:50041042
FAM86B3P,ENSG00000173295,skin_sun_exposed_lower_leg,0.929,5.54,8,7228594.0,9244865.0,8:7295557-8:9297184
RP11-439M11.1,ENSG00000271947,adrenal_gland,0.929,-4.09,2,5905723.0,7906301.0,2:6696122-2:8282017
GOLGA2P7,ENSG00000225151,adipose_subcutaneous,0.926,5.74,15,83199310.0,85230136.0,15:83591716-15:86109674
FADS1,ENSG00000149485,testis,0.924,9.05,11,60799624.0,62829318.0,11:59013076-11:62456299
SNED1,ENSG00000162804,breast_mammary_tissue,0.924,4.08,2,239998837.0,242094596.0,2:241210506-2:242147200
RFX3-AS1,ENSG00000232104,thyroid,0.922,3.37,9,2526722.0,4691814.0,9:1916877-9:3190064
LIME1,ENSG00000203896,nerve_tibial,0.921,-1.92,20,62736282.0,64739103.0,20:60986668-20:62670503
TGOLN2,ENSG00000152291,cells_cultured_fibroblasts,0.92,5.61,2,84318019.0,86328425.0,2:84913556-2:87738988
HSPD1P4,ENSG00000257576,artery_tibial,0.92,-5.92,12,55511001.0,57512703.0,12:57155077-12:58914885
COLCA1,ENSG00000196167,vagina,0.92,2.19,11,110290786.0,112305045.0,11:111243672-11:112588765
STON1,ENSG00000243244,pancreas,0.917,1.95,2,47530170.0,49598513.0,2:47985862-2:49795119
