gene_name,ensembl_id,top_cell_type,max_pip,twas_z_pop1,chrom,tx_start,tx_stop,block
CCR7,ENSG00000126353,b_intermediate,0.985,-5.75,17,39553768.0,41565472.0,17:38653091-17:40721152
CCDC88C,ENSG00000015133,cd4_tem,0.985,4.37,14,90271322.0,92417844.0,14:90830516-14:92665954
NAGA,ENSG00000198951,cd14_mono,0.983,5.82,22,41058456.0,43070842.0,22:40149793-22:42294812
PSMB3,ENSG00000277791,nk,0.981,-6.27,17,37752735.0,39764231.0,17:36141651-17:38653091
S100A11,ENSG00000163191,b_intermediate,0.978,-4.25,1,151032505.0,153047907.0,1:151566405-1:153208353
REL,ENSG00000162924,nk_cd56bright,0.976,-4.54,2,59881520.0,61925908.0,2:60064865-2:62201909
BACE2,ENSG00000182240,b_intermediate,0.969,-4.19,21,40167800.0,42282518.0,21:40017600-21:41901419
NFKBIZ,ENSG00000144802,b_intermediate,0.966,-5.16,3,100827990.0,102861022.0,3:100873373-3:103366116
SEC11A,ENSG00000140612,b_naive,0.959,-4.45,15,83669537.0,85716716.0,15:83591716-15:86109674
PCSK7,ENSG00000160613,cd4_tcm,0.959,5.16,11,116204782.0,118232525.0,11:116512631-11:117876395
RSRP1,ENSG00000117616,cd4_tem,0.959,-5.2,1,24242236.0,26337916.0,1:25190354-1:27075376
PNOC,ENSG00000168081,b_intermediate,0.956,4.04,8,27316985.0,29343355.0,8:28304875-8:29470379
S100A10,ENSG00000197747,cd4_tcm,0.956,-4.49,1,150982914.0,152994390.0,1:151566405-1:153208353
CPPED1,ENSG00000103381,cd16_mono,0.953,3.81,16,11659798.0,13804017.0,16:12519241-16:13060580
BTG2,ENSG00000159388,cd16_mono,0.953,4.3,1,202305490.0,204309602.0,1:201620847-1:203365606
SPCS1,ENSG00000114902,cd16_mono,0.951,-4.34,3,51704954.0,53708448.0,3:51797999-3:54047363
ALKBH5,ENSG00000091542,cd8_naive,0.938,-4.76,17,17183077.0,19209954.0,17:16509028-17:18953007
UQCRH,ENSG00000173660,cd4_naive,0.936,-4.43,1,45303630.0,47316776.0,1:46433829-1:47536904
LPP,ENSG00000145012,cd16_mono,0.93,-3.94,3,187208197.0,189890671.0,3:187172556-3:189138425
IL2RB,ENSG00000100385,nk_cd56bright,0.93,3.95,22,36125837.0,38175054.0,22:37174229-22:38911889
ISCA1,ENSG00000135070,nk,0.925,-3.83,9,85264545.0,87283102.0,9:85975502-9:87521331
TMBIM6,ENSG00000139644,cd14_mono,0.919,-4.4,12,48707724.0,50764934.0,12:48608083-12:51382710
HM13,ENSG00000101294,nk,0.917,4.3,20,30514427.0,32577923.0,20:25363595-20:33027017
VDAC2,ENSG00000165637,cd4_tcm,0.915,-4.14,10,74210153.0,76231448.0,10:73662792-10:76947056
UBE2E1,ENSG00000170142,b_memory,0.913,-3.68,3,22805902.0,24891316.0,3:22162752-3:23763374
FIBP,ENSG00000172500,nk,0.911,-2.09,11,64883920.0,66888539.0,11:64037097-11:66131160
PID1,ENSG00000153823,cd14_mono,0.905,-3.9,2,227850525.0,230271285.0,2:228506071-2:230978674
DDX6,ENSG00000110367,nk,0.903,5.38,11,117747765.0,119791147.0,11:117876395-11:119344766
PIP4K2A,ENSG00000150867,cd4_tcm,0.898,-4.03,10,21534848.0,23714555.0,10:22483354-10:22886203
PPP4C,ENSG00000149923,cd16_mono,0.898,4.33,16,29075977.0,31085377.0,16:29025292-16:31371622
HNRNPR,ENSG00000125944,cd4_naive,0.889,-4.46,1,22303770.0,24344336.0,1:22760390-1:23594100
ARPC4,ENSG00000241553,gdt,0.888,-3.93,3,8792783.0,10807726.0,3:9501499-3:10977979
RPS21,ENSG00000171858,nk,0.88,-4.45,20,61387115.0,63388520.0,20:60986668-20:62670503
PPP2R5A,ENSG00000066027,nk,0.879,4.01,1,211285536.0,213361863.0,1:210614406-1:212668988
ARHGAP30,ENSG00000186517,cd4_tcm,0.879,-3.94,1,160046947.0,162069970.0,1:159943258-1:162376931
SIAH2,ENSG00000181788,cd4_tcm,0.877,-3.81,3,149741126.0,151763477.0,3:150534217-3:151630942
TNFSF10,ENSG00000121858,cd16_mono,0.876,-3.69,3,171505507.0,173523507.0,3:171247120-3:172577941
COX4I1,ENSG00000131143,cd4_tem,0.858,4.19,16,84798632.0,86807044.0,16:85115079-16:86122993
ZFP36L2,ENSG00000152518,nk,0.856,-4.18,2,42222401.0,44226609.0,2:40054343-2:43082452
TPT1,ENSG00000133112,b_naive,0.85,4.13,13,44333470.0,46341344.0,13:44327273-13:45921079
CHP1,ENSG00000187446,cd16_mono,0.85,-4.23,15,40230838.0,42281890.0,15:40885316-15:42484201
NDUFS5,ENSG00000168653,nk,0.85,-4.03,1,38026317.0,40034636.0,1:38266175-1:39734895
CHST12,ENSG00000136213,mait,0.843,-3.62,7,1403559.0,3448483.0,7:1313431-7:2022763
USF2,ENSG00000105698,nk_cd56bright,0.842,4.42,19,34268977.0,36279815.0,19:33772047-19:35978393
NUB1,ENSG00000013374,cd4_naive,0.828,-3.96,7,150341698.0,152378449.0,7:150143569-7:151014417
PCMT1,ENSG00000120265,cd8_tem,0.828,-3.77,6,148749665.0,150811420.0,6:149932268-6:151591568
CNPY3,ENSG00000137161,mait,0.827,4.44,6,41929191.0,43939287.0,6:42070983-6:43788432
PRKD2,ENSG00000105287,b_memory,0.827,4.23,19,45674274.0,47717127.0,19:45599439-19:46646825
TNFAIP8,ENSG00000145779,cd4_naive,0.824,3.24,5,118268691.0,120399688.0,5:119273125-5:120333347
TMEM258,ENSG00000134825,cd4_tcm,0.813,-8.05,11,60768500.0,62792636.0,11:59013076-11:62456299
APMAP,ENSG00000101474,nk_cd56bright,0.807,-3.73,20,23962924.0,25992979.0,20:23313153-20:24737088
MFSD10,ENSG00000109736,nk_cd56bright,0.792,3.49,4,1930560.0,3934859.0,4:2841252-4:3844313
NUCB2,ENSG00000070081,cd8_tem,0.792,3.72,11,16208152.0,18349974.0,11:15721006-11:17556855
LBH,ENSG00000213626,cd4_tcm,0.789,4.62,2,29231530.0,31323730.0,2:30240845-2:31327584
IL32,ENSG00000008517,b_intermediate,0.784,-3.9,16,2065296.0,4082192.0,16:2714828-16:3951195
LINC01857,ENSG00000224137,b_naive,0.775,3.53,2,206662374.0,208667024.0,2:207780675-2:209076805
MEAF6,ENSG00000163875,nk,0.774,-4.88,1,36492574.0,38514774.0,1:37083582-1:38266175
ZBTB16,ENSG00000109906,nk,0.774,3.6,11,113059592.0,115250676.0,11:112588765-11:114387006
FUS,ENSG00000089280,b_memory,0.768,-5.06,16,30180109.0,32194871.0,16:29025292-16:31371622
BZW1,ENSG00000082153,cd8_tem,0.768,-3.89,2,199810593.0,201827338.0,2:200711561-2:201953914
SERBP1,ENSG00000142864,cd4_tem,0.765,3.54,1,66407809.0,68430415.0,1:66473721-1:68012212
CALM3,ENSG00000160014,treg,0.757,-4.14,19,45601235.0,47610793.0,19:45599439-19:46646825
SYPL1,ENSG00000008282,cd4_naive,0.755,3.52,7,105090502.0,107112576.0,7:104519078-7:106042459
SFT2D1,ENSG00000198818,gdt,0.751,3.44,6,165319727.0,167342591.0,6:165173375-6:166611245
UBAC2,ENSG00000134882,cd16_mono,0.738,3.59,13,98200773.0,100386434.0,13:98286665-13:99921841
R3HDM2,ENSG00000179912,cd14_mono,0.736,6.16,12,56253763.0,58431005.0,12:57155077-12:58914885
PCNP,ENSG00000081154,cd8_naive,0.733,4.54,3,100574094.0,102594437.0,3:100873373-3:103366116
COX19,ENSG00000240230,cd4_naive,0.732,3.6,7,-33926.0,1975599.0,7:16161-7:933116
CNOT7,ENSG00000198791,nk_cd56bright,0.724,-3.34,8,16224963.0,18246570.0,8:16134151-8:17530367
FBXL15,ENSG00000107872,nk,0.722,-3.89,10,101419188.0,103423136.0,10:101189482-10:102620653
GRAP2,ENSG00000100351,cd8_naive,0.713,-3.84,22,38901081.0,40973721.0,22:40149793-22:42294812
PTPRA,ENSG00000132670,cd4_naive,0.712,-3.56,20,1873419.0,4039076.0,20:2488855-20:3847766
ARPC5,ENSG00000162704,cd4_tem,0.705,-3.51,1,182620845.0,184635757.0,1:182786221-1:184626379
RUNX3,ENSG00000020633,nk,0.704,3.9,1,23899510.0,25965121.0,1:23594100-1:25190354
COPS9,ENSG00000172428,b_naive,0.694,-3.44,2,239126562.0,241136807.0,2:239030947-2:240620667
GLG1,ENSG00000090863,nk,0.687,-3.6,16,73447426.0,75607144.0,16:72901251-16:74937605
TUBA1A,ENSG00000167552,nk_cd56bright,0.687,-4.0,12,48184795.0,50189324.0,12:48608083-12:51382710
BSDC1,ENSG00000160058,cd4_tem,0.682,4.09,1,31365102.0,33394448.0,1:31973084-1:34334157
PSMA3-AS1,ENSG00000257621,cd4_ctl,0.676,-3.51,14,57265364.0,59295811.0,14:57014544-14:58981618
NSRP1,ENSG00000126653,cd14_mono,0.672,3.87,17,29115520.0,31186475.0,17:29007226-17:31459473
TSPYL1,ENSG00000189241,b_memory,0.671,-3.43,6,115276577.0,117279903.0,6:115810232-6:117351809
ATP6V1F,ENSG00000128524,cd4_tcm,0.671,3.67,7,127862825.0,129865844.0,7:127229167-7:129138332
TALDO1,ENSG00000177156,cd16_mono,0.664,-3.67,11,-252672.0,1765024.0,11:70855-11:1192365
ZBTB38,ENSG00000177311,cd4_tem,0.663,3.27,3,140324212.0,142449792.0,3:140235755-3:141620255
SECISBP2,ENSG00000187742,cd4_tem,0.663,-3.6,9,88318505.0,90359662.0,9:87521331-9:89827251
CCM2,ENSG00000136280,nk,0.661,-3.47,7,43999474.0,46076469.0,7:44724229-7:45913323
MDH1,ENSG00000014641,cd4_tcm,0.657,4.32,2,62588799.0,64607197.0,2:62201909-2:64398779
ZFP36L1,ENSG00000185650,b_naive,0.653,2.34,14,67787659.0,69796253.0,14:67525600-14:70665240
DPY30,ENSG00000162961,cd8_tcm,0.647,-3.54,2,31011885.0,33039812.0,2:31327584-2:33138710
NUDT16L1,ENSG00000168101,nk,0.646,3.78,16,3693693.0,5695859.0,16:3951195-16:5068344
SYTL1,ENSG00000142765,cd4_tem,0.645,3.69,1,26342019.0,28353932.0,1:25190354-1:27075376
SQSTM1,ENSG00000161011,mait,0.641,-3.45,5,178806397.0,180837265.0,5:178986463-5:179974244
UBXN1,ENSG00000162191,treg,0.639,3.6,11,61676497.0,63679117.0,11:59013076-11:62456299
CAT,ENSG00000121691,b_intermediate,0.629,-3.46,11,33438924.0,35472062.0,11:33937192-11:35481057
CD83,ENSG00000112149,b_memory,0.624,3.45,6,13117255.0,15136918.0,6:13209156-6:14802693
MANF,ENSG00000145050,gdt,0.62,-4.84,3,50385046.0,52389397.0,3:49279539-3:51797999
RORA,ENSG00000069667,cd4_tcm,0.61,3.32,15,59488283.0,62229319.0,15:60973637-15:62923023
SYF2,ENSG00000117614,cd4_ctl,0.609,4.8,1,24222678.0,26232502.0,1:25190354-1:27075376
DEDD2,ENSG00000160570,nk,0.606,3.48,19,41198597.0,43220140.0,19:41625199-19:43358303
EPC1,ENSG00000120616,cd4_tem,0.605,3.04,10,31267750.0,33378798.0,10:31618591-10:33419040
TAF11,ENSG00000064995,nk,0.604,-3.58,6,33877777.0,35888089.0,6:33268720-6:35487979
FCER1G,ENSG00000158869,cd16_mono,0.591,7.74,1,160215233.0,162220699.0,1:159943258-1:162376931
PIK3IP1,ENSG00000100100,cd4_naive,0.59,-3.66,22,30281592.0,32292498.0,22:29255810-22:31043932
TMX4,ENSG00000125827,gdt,0.579,-2.99,20,6977347.0,9019829.0,20:7103426-20:8136364
JTB,ENSG00000143543,cd16_mono,0.571,3.8,1,152974363.0,154977688.0,1:153208353-1:154797927
CTSW,ENSG00000172543,nk,0.57,-2.44,11,64879808.0,66883741.0,11:64037097-11:66131160
STIM2,ENSG00000109689,cd8_naive,0.566,3.16,4,25857677.0,28025381.0,4:25607700-4:27342100
RHOH,ENSG00000168421,cd4_tem,0.566,-3.45,4,39191052.0,41246967.0,4:38905401-4:40200989
SSR1,ENSG00000124783,nk,0.557,-3.14,6,6268305.0,8347446.0,6:6784974-6:7808703
SP100,ENSG00000067066,cd4_ctl,0.557,3.36,2,229415941.0,231544090.0,2:228506071-2:230978674
TRPV2,ENSG00000187688,cd16_mono,0.549,-5.75,17,15417561.0,17437003.0,17:15115780-17:16509028
WBP11,ENSG00000084463,cd8_tcm,0.549,3.47,12,13784578.0,15803540.0,12:12580594-12:15088550
MFSD14B,ENSG00000148110,cd16_mono,0.545,3.44,9,93374550.0,95461042.0,9:93909416-9:96159758
PDLIM2,ENSG00000120913,treg,0.545,-3.2,8,21578278.0,23598025.0,8:23039544-8:24817205
TPST2,ENSG00000128294,cd14_mono,0.544,3.24,22,25521982.0,27596717.0,22:26395662-22:27438791
SNX3,ENSG00000112335,cd16_mono,0.542,3.37,6,107211221.0,109261260.0,6:108143176-6:109983044
ROCK1,ENSG00000067900,cd8_tem,0.541,3.67,18,19946905.0,22111851.0,18:14440800-18:21905883
RCN2,ENSG00000117906,cd4_ctl,0.541,-4.17,15,75931618.0,77954392.0,15:76106283-15:78223711
ADAR,ENSG00000160710,b_memory,0.538,5.22,1,153582061.0,155627999.0,1:153208353-1:154797927
ARHGDIB,ENSG00000111348,cd4_tem,0.537,2.93,12,13942016.0,15961728.0,12:15088550-12:16157526
SDHB,ENSG00000117118,cd4_naive,0.537,3.54,1,16018721.0,18054170.0,1:16571235-1:18336405
ABTB1,ENSG00000114626,cd14_mono,0.535,-2.88,3,126672934.0,128680920.0,3:126496100-3:128476018
ARPC3,ENSG00000111229,b_naive,0.533,-3.62,12,109434824.0,111450407.0,12:109898914-12:112825713
GIMAP1,ENSG00000213203,cd4_tem,0.532,3.69,7,149716556.0,151724284.0,7:150143569-7:151014417
DCTN2,ENSG00000175203,cd16_mono,0.53,5.87,12,56530148.0,58547331.0,12:57155077-12:58914885
TMEM9B,ENSG00000175348,cd8_naive,0.525,3.34,11,7947293.0,9964674.0,11:8311727-11:9065770
RPL31,ENSG00000071082,cd14_mono,0.524,3.39,2,100002244.0,102024032.0,2:98378738-2:101205867
USP8,ENSG00000138592,b_intermediate,0.52,-3.29,15,49424379.0,51514419.0,15:49715846-15:51385363
ADAM19,ENSG00000135074,b_naive,0.517,-4.44,5,156395595.0,158575775.0,5:155946495-5:157201689
RAB6A,ENSG00000175582,gdt,0.516,-3.65,11,72675637.0,74761137.0,11:72574973-11:74701306
RAB8A,ENSG00000167461,b_intermediate,0.513,-3.67,19,15111628.0,17134027.0,19:16263605-19:18299052
CHURC1,ENSG00000258289,b_naive,0.511,3.32,14,63914360.0,65944591.0,14:64753580-14:65932837
TUBA4A,ENSG00000127824,cd14_mono,0.51,-3.05,2,218250337.0,220278170.0,2:219589829-2:221656456
ACTB,ENSG00000075624,cd14_mono,0.51,-3.01,7,4527150.0,6563784.0,7:4533797-7:5376601
C16orf74,ENSG00000154102,b_naive,0.509,-3.86,16,84690083.0,86751129.0,16:85115079-16:86122993
CACYBP,ENSG00000116161,cd14_mono,0.507,4.06,1,173999162.0,176011672.0,1:173128768-1:175120632
ARRB2,ENSG00000141480,cd4_naive,0.498,-3.32,17,3710488.0,5721499.0,17:3799018-17:4792966
CCDC115,ENSG00000136710,nk_cd56bright,0.497,0.167,2,129338240.0,131342224.0,2:129309597-2:129900512
RPL5,ENSG00000122406,cd8_tcm,0.487,3.28,1,91832024.0,93841924.0,1:91420760-1:93070902
SMARCA2,ENSG00000080503,nk_cd56bright,0.487,-2.16,9,980289.0,3193624.0,9:1079707-9:1916877
PARK7,ENSG00000116288,nk,0.486,-3.81,1,6954290.0,8985505.0,1:7187275-1:9305140
PTPRC,ENSG00000081237,nk,0.483,-3.19,1,197638670.0,199757283.0,1:197342384-1:199270756
CLPTM1,ENSG00000104853,cd16_mono,0.482,-3.48,19,43954590.0,45993341.0,19:44239955-19:45599439
CD247,ENSG00000198821,cd4_naive,0.482,-8.04,1,166430639.0,168518610.0,1:166491280-1:169117086
MRPL21,ENSG00000197345,cd16_mono,0.479,3.59,11,67891275.0,69903835.0,11:68238358-11:69701362
CRTAP,ENSG00000170275,cd14_mono,0.478,-3.0,3,32113978.0,34147773.0,3:33214100-3:35241966
EMC3,ENSG00000125037,b_memory,0.475,2.95,3,8962539.0,10986892.0,3:8606875-3:9501499
SPINT2,ENSG00000167642,cd16_mono,0.474,-3.79,19,37244034.0,39292614.0,19:37036131-19:39679979
PPP1R12A,ENSG00000058272,b_memory,0.467,3.24,12,78773562.0,80934900.0,12:78176790-12:80054370
TSPAN3,ENSG00000140391,b_memory,0.467,-3.98,15,76041403.0,78083984.0,15:76106283-15:78223711
TNFRSF25,ENSG00000215788,cd4_tcm,0.464,-3.12,1,5461150.0,7466091.0,1:5853833-1:7187275
SPG7,ENSG00000197912,cd8_naive,0.459,3.44,16,88490916.0,90557768.0,16:88974757-16:90226404
SF3A2,ENSG00000104897,gdt,0.459,-3.73,19,1237793.0,3248679.0,19:610729-19:2098397
PABPC1,ENSG00000070756,cd8_tem,0.457,2.78,8,99685815.0,101722809.0,8:100608730-8:103111078
NCK1,ENSG00000158092,gdt,0.456,3.04,3,135862207.0,137949823.0,3:135738064-3:137652241
CFDP1,ENSG00000153774,cd4_tem,0.454,-3.47,16,74293697.0,76433485.0,16:74937605-16:75944056
RNF149,ENSG00000163162,cd8_tcm,0.445,2.91,2,100271218.0,102308701.0,2:101205867-2:102072305
MAX,ENSG00000125952,cd8_naive,0.441,3.25,14,64006173.0,66102695.0,14:63323296-14:64753580
ERH,ENSG00000100632,cd8_tcm,0.438,-3.32,14,68380122.0,70398627.0,14:67525600-14:70665240
CYFIP2,ENSG00000055163,b_naive,0.437,3.61,5,156266078.0,158395533.0,5:155946495-5:157201689
TOMM22,ENSG00000100216,cd4_tcm,0.434,3.35,22,37681947.0,39685421.0,22:37174229-22:38911889
WAC-AS1,ENSG00000254635,cd16_mono,0.433,-3.51,10,27522651.0,29532492.0,10:26599755-10:29034307
PHF14,ENSG00000106443,cd4_tcm,0.428,3.2,7,9973871.0,12169630.0,7:9947872-7:11259571
SIPA1,ENSG00000213445,cd8_tcm,0.425,3.73,11,64638096.0,66650930.0,11:64037097-11:66131160
CWF19L2,ENSG00000152404,treg,0.425,-2.86,11,106326344.0,108457844.0,11:106650168-11:107973474
TPM3,ENSG00000143549,cd14_mono,0.424,5.01,1,153155303.0,155194648.0,1:153208353-1:154797927
PATL2,ENSG00000229474,gdt,0.422,-3.38,15,43665731.0,45711316.0,15:43905851-15:46326589
TOP1,ENSG00000198900,nk,0.418,-2.87,20,40028817.0,42124487.0,20:40982216-20:41957049
OS9,ENSG00000135506,nk,0.418,-3.36,12,56693954.0,58721557.0,12:57155077-12:58914885
LETMD1,ENSG00000050426,cd8_naive,0.413,-2.98,12,50047961.0,52060424.0,12:48608083-12:51382710
TMEM170B,ENSG00000205269,cd14_mono,0.411,2.65,6,10538277.0,12583524.0,6:11790583-6:13209156
EOMES,ENSG00000163508,cd8_tem,0.409,3.12,3,26715948.0,28722711.0,3:26836278-3:27799419
CMC1,ENSG00000187118,cd4_ctl,0.408,3.11,3,27241594.0,29325142.0,3:26836278-3:27799419
SOCS3,ENSG00000184557,cd8_tcm,0.407,3.13,17,77356777.0,79360077.0,17:78267332-17:79302554
CLNS1A,ENSG00000074201,cd4_tem,0.405,4.48,11,76514935.0,78637805.0,11:77086163-11:78644013
PTPN22,ENSG00000134242,mait,0.401,3.4,1,112813810.0,114871759.0,1:112730684-1:114331223
EIF4A1,ENSG00000161960,cd8_tem,0.4,3.82,17,6572705.0,8579005.0,17:7414079-17:8403107
RSF1,ENSG00000048649,treg,0.397,4.48,11,76659995.0,78821017.0,11:77086163-11:78644013
KLF6,ENSG00000067082,cd4_naive,0.396,-3.16,10,2775995.0,4785281.0,10:3310507-10:4530082
PRDM2,ENSG00000116731,cd4_tcm,0.393,-3.22,1,12700197.0,14825079.0,1:12719464-1:14565015
HNRNPUL1,ENSG00000105323,b_memory,0.392,3.33,19,40262495.0,42307598.0,19:40478694-19:41625199
RGS10,ENSG00000148908,cd8_tcm,0.39,3.11,10,118499827.0,120542708.0,10:118831841-10:120647811
CYBA,ENSG00000051523,nk,0.385,3.36,16,87643282.0,89651152.0,16:88974757-16:90226404
HINT2,ENSG00000137133,b_memory,0.383,-3.4,9,34812959.0,36815354.0,9:34642246-9:36743286
EZR,ENSG00000092820,cd4_tcm,0.381,3.43,6,157765740.0,159819412.0,6:157797687-6:160159465
MARK3,ENSG00000075413,cd14_mono,0.375,3.35,14,102385391.0,104503831.0,14:102545765-14:104535386
POP7,ENSG00000172336,cd14_mono,0.374,-3.68,7,99706052.0,101707495.0,7:99117851-7:100599028
GCHFR,ENSG00000137880,cd4_naive,0.372,-3.08,15,39764019.0,41764608.0,15:40091931-15:40885316
PGLS,ENSG00000130313,b_intermediate,0.371,-3.5,19,16511889.0,18521288.0,19:16263605-19:18299052
ITGB1,ENSG00000150093,gdt,0.37,-3.11,10,31900318.0,34005792.0,10:31618591-10:33419040
BCAS2,ENSG00000116752,nk,0.369,3.37,1,113567556.0,115581639.0,1:112730684-1:114331223
TMCO1,ENSG00000143183,b_memory,0.367,2.97,1,164724292.0,166827530.0,1:165222465-1:166491280
SERPINB6,ENSG00000124570,nk,0.364,3.01,6,1948158.0,3972165.0,6:2458702-6:3573359
MITD1,ENSG00000158411,cd8_tcm,0.359,-3.37,2,98161426.0,100181058.0,2:98378738-2:101205867
MTERF4,ENSG00000122085,cd4_tem,0.357,2.79,2,240072168.0,242102332.0,2:240620667-2:241210506
OAS1,ENSG00000089127,cd16_mono,0.356,-2.94,12,111906776.0,113933222.0,12:112825713-12:113548904
ENO1,ENSG00000074800,cd4_tcm,0.356,-3.62,1,7861001.0,9879249.0,1:7187275-1:9305140
EMC8,ENSG00000131148,cd16_mono,0.355,-3.51,16,84771757.0,86799608.0,16:85115079-16:86122993
ENTPD1,ENSG00000138185,b_intermediate,0.355,-2.97,10,94711778.0,96869695.0,10:94461486-10:96062600
PRDX6,ENSG00000117592,cd4_tem,0.354,3.12,1,172477265.0,174488807.0,1:170588635-1:173128768
TECR,ENSG00000099797,b_naive,0.353,-3.31,19,13533932.0,15565980.0,19:14375535-19:15537799
SNX2,ENSG00000205302,b_intermediate,0.349,2.93,5,121774995.0,123830108.0,5:121116471-5:123221211
ANKRD44,ENSG00000065413,b_intermediate,0.344,-2.8,2,195967016.0,198311173.0,2:195582732-2:197213386
RPL15,ENSG00000174748,cd4_tem,0.343,-2.59,3,22916715.0,24923692.0,3:22162752-3:23763374
APRT,ENSG00000198931,cd4_naive,0.341,3.2,16,87809338.0,89811944.0,16:87613743-16:88974757
ZDHHC12,ENSG00000160446,cd16_mono,0.339,-3.37,9,127720918.0,129724127.0,9:127293231-9:129403191
LCP1,ENSG00000136167,cd14_mono,0.337,-2.85,13,45125919.0,47211871.0,13:45921079-13:46856944
PABPC4,ENSG00000090621,cd4_tcm,0.335,-3.39,1,38560815.0,40576790.0,1:39734895-1:41509656
PPP1R2,ENSG00000184203,cd14_mono,0.334,3.12,3,194514424.0,196543386.0,3:195065945-3:196244537
HADHA,ENSG00000084754,cd8_naive,0.333,3.12,2,25190634.0,27244726.0,2:24464049-2:26672117
TBCC,ENSG00000124659,gdt,0.332,-4.11,6,41744480.0,43746096.0,6:42070983-6:43788432
THOC7,ENSG00000163634,mait,0.331,-2.54,3,62833869.0,64863903.0,3:62369991-3:63683610
DECR1,ENSG00000104325,nk,0.329,2.26,8,89001404.0,91052092.0,8:88073253-8:89625933
ZEB2,ENSG00000169554,gdt,0.328,2.73,2,143364363.0,145524583.0,2:143761915-2:145688002
ATOX1,ENSG00000177556,nk,0.326,3.05,5,150742315.0,152758779.0,5:151181737-5:153488214
NEMF,ENSG00000165525,cd16_mono,0.322,3.46,14,48782082.0,50853203.0,14:48536268-14:50041042
